target_hole,target_machine,evaluation_days,special_day_type,score_method,result_key,evaluation_days_count,total_machines,avg_machines_per_day,win_days,win_rate,total_diff,avg_diff,payout_rate
アイランド秋葉原店,Lソードアート・オンライン,120,island,rms_frequency,TOP1,70,70,1,29,41.43,19280,275,97.76
アイランド秋葉原店,Lソードアート・オンライン,120,island,rms_frequency,THRESHOLD_98PCT,70,89,1.27,33,37.08,10053,113,97.07
アイランド秋葉原店,Lソードアート・オンライン,120,island,rms_frequency,THRESHOLD_99PCT,70,81,1.16,31,38.27,12736,157,97.11
アイランド秋葉原店,Lバンドリ！,14,island,original,TOP1,13,13,1,5,38.46,7989,615,100.49
アイランド秋葉原店,Lバンドリ！,14,island,original,THRESHOLD_98PCT,13,14,1.08,6,42.86,14798,1057,102.42
アイランド秋葉原店,Lバンドリ！,14,island,original,THRESHOLD_99PCT,13,13,1,5,38.46,7989,615,100.49
アイランド秋葉原店,Lバンドリ！,14,island,rms_frequency,TOP1,13,13,1,7,53.85,33445,2573,109.17
アイランド秋葉原店,Lバンドリ！,14,island,rms_frequency,THRESHOLD_98PCT,13,17,1.31,8,47.06,30576,1799,106.14
アイランド秋葉原店,Lバンドリ！,14,island,rms_frequency,THRESHOLD_99PCT,13,16,1.23,7,43.75,25610,1601,104.96
アイランド秋葉原店,Lバンドリ！,28,island,original,TOP1,27,27,1,10,37.04,226,8,98.03
アイランド秋葉原店,Lバンドリ！,28,island,original,THRESHOLD_98PCT,27,29,1.07,11,37.93,5075,175,98.73
アイランド秋葉原店,Lバンドリ！,28,island,original,THRESHOLD_99PCT,27,28,1.04,10,35.71,-1734,-62,97.71
アイランド秋葉原店,Lバンドリ！,28,island,rms_frequency,TOP1,27,27,1,11,40.74,24004,889,101.7
アイランド秋葉原店,Lバンドリ！,28,island,rms_frequency,THRESHOLD_98PCT,27,36,1.33,12,33.33,5581,155,98.38
アイランド秋葉原店,Lバンドリ！,28,island,rms_frequency,THRESHOLD_99PCT,27,33,1.22,11,33.33,7717,234,98.74
アイランド秋葉原店,Lバンドリ！,60,island,original,TOP1,58,58,1,23,39.66,34686,598,100.33
アイランド秋葉原店,Lバンドリ！,60,island,original,THRESHOLD_98PCT,58,67,1.16,27,40.3,36888,551,100.24
アイランド秋葉原店,Lバンドリ！,60,island,original,THRESHOLD_99PCT,58,65,1.12,26,40,31639,487,99.97
アイランド秋葉原店,Lバンドリ！,60,island,rms_frequency,TOP1,58,58,1,23,39.66,52736,909,101.72
アイランド秋葉原店,Lバンドリ！,60,island,rms_frequency,THRESHOLD_98PCT,58,76,1.31,28,36.84,30372,400,99.49
アイランド秋葉原店,Lバンドリ！,60,island,rms_frequency,THRESHOLD_99PCT,58,71,1.22,26,36.62,32900,463,99.71
アイランド秋葉原店,Lバンドリ！,120,island,original,TOP1,69,69,1,30,43.48,62404,904,101.83
アイランド秋葉原店,Lバンドリ！,120,island,original,THRESHOLD_98PCT,69,78,1.13,33,42.31,58318,748,101.26
アイランド秋葉原店,Lバンドリ！,120,island,original,THRESHOLD_99PCT,69,76,1.1,32,42.11,53069,698,101.06
アイランド秋葉原店,Lバンドリ！,120,island,rms_frequency,TOP1,69,69,1,29,42.03,69709,1010,102.11
